,Total,Alba,Brașov,Covasna,Harghita,Mureș,Sibiu
<b>Suprafața</b> (km²),34.092,6.242,5.363,3.710,6.639,6.714,5.432
<b>Populația</b>,2.322.619,328.311,551.183,203.534,304.280,538.329,400.110
<b>Densitatea pop.</b> (loc/km²),"68,13","52,60","102,78","54,86","45,83","80,18","73,66"
<b>Populația urbană</b>,1.332.848,192.132,389.743,95.954,128.395,265.400,261.224
<b>Populația urbană</b> (%),"57,38","50,52","70,71","47,14","42,20","49,30","65,29"
<b>Populația activă</b>,1.082.600,168.200,262.800,85.400,134.700,235.300,196.200
<b>Populația ocupată</b> (%),"72,3","81,6","73,6","65,2",68,"67,9","76,1"
<b>PIB</b> (miliarde. EUR)*,"21,22","3,18","6,34","1,40","2,09","3,94","4,27"
<b>PIB-PPS media UE</b> (%)*,"60,0","63,5","75,7","45,2","45,2","48,1","70,2"
<b>Rata șomajului</b> (%),"2,9","3,4","2,2","3,6","4,2",3,"1,8"
<b>Nr. de companii active</b>,67.087,8.536,20.696,4.155,7.504,14.209,11.987
<b>Cat. de întreprinderi</b>
<span class='indent'>0-9 pers.</span>,59.406,7.577,18.554,3.635,6.518,12.609,10.513
<span class='indent'>10-49 pers.</span>,6.318,799,1.722,444,850,1.341,1.162
<span class='indent'>50-250 pers.</span>,1.130,128,352,65,120,215,250
<span class='indent'>>250 pers.</span>,233,32,68,11,16,44,62
<b>Nr. de absolvenți</b>*,54.308,8.246,13.438,3.590,6.124,12.159,10.751
<b>Salariu mediu net</b> (€),"527,13","510,37","560,65","450,84","442,46","528,42","564,31"