,Total,Bacău,Botoșani,Iași,Neamț,Suceava,Vaslui
<b>Suprafața</b> (km²),36.850,6.621,4.986,5.476,5.897,8.553,5.318
<b>Populația</b>,3.959.219,742.053,452.328,944.074,569.851,757.679,493.234
<b>Densitatea pop.</b> (loc/km²),"107,4","112,1","90,7","172,4","88,6","88,6","92,7"
<b>Populația urbană</b>,1.806.879,352.415,195.817,461.058,223.300,333.986,240.303
<b>Populația urbană</b> (%),"45,52","47,39","43,21","48,66","39,12","43,97","48,55"
<b>Populația activă</b>,1.192.400,212.000,136.400,296.300,181.400,231.600,134.700
<b>Populația ocupată</b> (%),"28,59","26,82","29,17","30,32","30,33","28,93","24,87"
<b>PIB</b> (miliarde. EUR)*,"19,04",3.45,"1,84","6,11","2,57","3,39","1,67"
<b>PIB-PPS media UE</b> (%)*,39,"41,5","32,2","49,1","38,3","37,2","31,3"
<b>Rata șomajului</b> (%),"4,8",6,"3,1",3,"4,6","5,1","8,6"
<b>Nr. de companii active</b>,62.160,12.099,4.448,18.221,9.024,12.798,5.570
<b>Cat. de întreprinderi</b>
<span class='indent'>0-9 pers.</span>,"89,43%","90,24%","88,60%","89,42%","89,11%","88,84%","90,2%"
<span class='indent'>10-49 pers.</span>,"8,99%","8,23%","9,19%","8,90%","9,29%","9,77%","8,55%"
<span class='indent'>50-250 pers.</span>,"1,36%","1,31%","1,84%","1,40%","1,42%","1,27%","1,02%"
<span class='indent'>>250 pers.</span>,"0,22%","0,22%","0,36%","0,27%","0,19%","0,12%","0,23%"
<b>Nr. de absolvenți</b>*,86.876,13.551,8.827,29.221,9.835,17.063,8.379
<b>Salariu mediu net</b> (€),496,486,466,577,446,454,463