,Total,Bihor,Bistrița-Năsăud,Cluj,Maramureș,Satu Mare,Sălaj
<b>Suprafața</b> (km²)**,34.159,7.539,5.358,6.672,6.303,4.420,3.867
<b>Populația</b>,2.557.085,562.866,279.576,705.932,462.120,333.731,212.860
<b>Densitatea pop.</b> (loc/km²),"74,86","74,66","52,18","105,81","73,32","75,50","55,05"
<b>Populația urbană</b>,1.340.124,275.263,107.793,459.362,264.459,148.497,84.750
<b>Populația urbană</b> (%),"52,40","48,90","38,55","65,07","57,22","44,49","39,81"
<b>Populația activă</b>,1.210.300,265.600,129.000,366.000,200.700,146.500,102.500
<b>Populația ocupată</b> (%),"72,7","73,1","72,6","77,7","66,6","67,3","76,2"
<b>PIB</b> (miliarde. EUR)*,"20,0","3,9","1,8","8,0","2,8","2,0","1,4"
<b>PIB-PPS media UE</b> (%)*,57,-,-,-,-,-,-
<b>Rata șomajului</b> (%),"2,3","1,5","3,1","1,3","3,2","2,6","4,5"
<b>Nr. de companii active</b>,88.026,20.150,7.615,34.875,11.564,8.222,5.600
<b>Cat. de întreprinderi</b>
<span class='indent'>0-9 pers.</span>,"89,3%","88,7%","90,1%","90,7%","87,7%","86,8%","88,9%"
<span class='indent'>10-49 pers.</span>,"8,9%","9,5%","8,1%","7,7%",11%,11%,"9,6%"
<span class='indent'>50-250 pers.</span>,"1,49%","1,58%","1,59%","1,39%","1,45%","1,8%","1,34%"
<span class='indent'>>250 pers.</span>,"0,25%","0,26%","0,2%","0,25%","0,24%","0,28%","0,27%"
<b>Nr. de absolvenți</b>*,19.834,3.752,287,14.151,1.250,322,72
<b>Salariu mediu net</b> (€),531,467,450,653,463,465,508